Stride Length (m),Step Frequency (steps/min),Stance Phase Duration (s),Swing Phase Duration (s),Double Support Phase Duration (s),Step Length (m),Cadence Variability (%),Hip Joint Angle (°),Knee Joint Angle (°),Ankle Joint Angle (°),Avg. Vertical GRF (N),Avg. A-P GRF (N),Avg. M-L GRF (N),Avg. COP Excursion (mm),Foot Clearance (mm),Gait Symmetry Index (%),Label
0.8,1.6,0.6,0.4,0.1,0.7,6.3,14.6,29.4,14.2,572,320.5,47.9,7.5,13,57.3,0
1.066071907,1.882632337,0.546381412,0.413717451,0.211163226,1,5.552782084,25.09248245,20.45070682,13.49799393,548.6037556,307.4512947,82.18284614,11.05409589,20.19526146,95.01794499,1
1.028441621,1.88699259,0.575449073,0.381594101,0.189740081,0.9,6.715422474,21.5919686,15.68456066,15.00823721,547.9433874,320.577586,69.04740534,10.21009994,19.05525182,89.17622547,1
0.994403171,2.101280001,0.596263011,0.380856822,0.227446615,0.9,6.011702418,25.53001731,17.19612554,11.64776566,556.4742987,295.7980056,82.57498293,11.10903535,19.60511515,84.20918786,1
1.196239079,1.933558736,0.622231286,0.404581076,0.204384768,1.1,5.709228071,24.38997047,16.14155744,14.22627881,558.9144843,297.9052041,65.61737596,11.3432669,19.60506163,100.2046827,1
1.147162988,1.967322539,0.662260094,0.39708391,0.185164995,1,5.751428964,20.89000446,19.78018175,10.84102065,513.9417283,298.7996102,47.72708327,11.28792411,17.07050211,83.97822312,1
1.3,2,0.5,0.4,0.2,1.2,5.2,27,26.4,6.1,572.8,324.9,86,6.4,24.2,67.4,0
1.2,2,0.5,0.4,0.3,1.2,6,23.2,26.3,13,452,346.5,35.2,6.3,20,77.2,0
1.129817437,1.969249411,0.621715582,0.386700773,0.19805624,1,5.471986469,22.48270723,15.6316837,11.17286701,485.9303298,288.4149863,77.83043648,11.05172774,18.03708819,87.38709253,1
1.025128513,1.977827481,0.662446524,0.428889998,0.202677969,1,5.539325183,18.6320726,18.98273448,10.39909222,475.3947137,312.3943009,72.53907998,10.92737139,17.94189474,82.56287639,1
1.089467717,1.856667492,0.625881563,0.412277811,0.193790981,1.1,6.823949274,21.75458219,17.99336386,14.87444368,515.2550126,322.231708,53.4310747,10.29698052,19.22866849,90.48416473,1
0.6,2.4,0.6,0.4,0.2,0.5,4.8,11.7,29.4,17.1,433.8,332,66.3,12.4,24.8,69.3,0
